,formula
1163,\{ \Omega ( t ) \} / \{ \partial W ( t ) \partial \omega ( t ) \}
1164,K _ { B } = { \mathcal O } _ { B } ( - 3 l + \sum _ { i = 1 } ^ { 9 } e _ { i } ) .
1165,\Delta \mu = \frac { 1 } { 2 } ( \mu _ { 1 } + \mu _ { 2 } - \mu _ { 3 } + \mu _ { 4 } ) .
1166,J _ { 2 } = { \frac { 1 } { 2 } } \psi ^ { T } \sigma _ { 2 } \psi
1167,"E _ { 1 } = k _ { 1 } ^ { 2 } + k _ { 2 } ^ { 2 } + \ldots + k _ { N } ^ { 2 } ,"
1168,"\Pi \cdot \Pi = 0 , \qquad \Pi \star \Pi = - 2 \kappa p"
1169,\phi ( x _ { \eta } g _ { \mathcal { O } } ^ { - 1 } x _ { \eta } ^ { - 1 } x ) = \phi ( x ) .
1170,"C _ { I J } \, f _ { K L } ^ { I } + C _ { I L } \, f _ { K J } ^ { I } \ = \ 0 ."
1171,"G _ { \mu \nu } = R _ { \mu \nu } - { \frac { 1 } { 2 } } h _ { \mu \nu } R = T _ { \mu \nu } ,"
1172,"\left. S = \Pi _ { ( p ) } \; \overline { S } \ \ \right| _ { \; \mathrm { I m } z = 0 } \ \ ,"
1173,( d - i ( \phi ) ) C ^ { * } = d C ^ { * } - C ^ { * } ( C \phi ) .
1174,"\Phi = g _ { \star } ^ { - 1 } \star B \star g \, ."
1175,c _ { 2 } = \frac { 1 } { 2 } \hspace { . 3 i n } c _ { 2 2 } = \frac { \sqrt { 3 } } { 2 } \ .
1176,"\tilde { b } _ { - 1 } b _ { - 1 } \cdot c \tilde { c } { \cal V } _ { i } = { \cal V } _ { i } \ ,"
1177,\frac { d } { d t } \sum _ { n } z _ { n } P _ { n z } =
1178,{ \frac { d u } { d \rho } } \equiv e ^ { \lambda _ { 2 } - \lambda _ { 1 } } .
1179,"S = \bigcup _ { i = 1 } ^ { 4 } S _ { i } , \hspace { 2 m m } S _ { i } = x ( \sigma _ { i } ) ."
1180,"s = 1 , 5 , 7 , 9 , 1 1 , 1 3 , 1 7 \quad ( \textrm { m o d } \, 1 8 ) \, ,"
1181,"f ( z + \alpha _ { j } ) = \operatorname { e x p } ( a _ { j } + i \pi n _ { j } ) f ( z ) ,"
1182,{ { 1 + i \sigma e ^ { 2 \Gamma } } \o { 1 - i \sigma e ^ { 2 \Gamma } } }
1183,"( 1 - \rho ( | \xi | ) ) a _ { \alpha - k } ( x , \xi )"
1184,"\left( i \beta ^ { \mu } \partial _ { \mu } - m \right) \psi = 0 ,"
1185,A ^ { \dag } | _ { \mathbf \Phi } \subset A ^ { \dag } \subset A ^ { \times } .
1186,"C _ { z } : ( A , B , C , D ) \longrightarrow ( - A , - B , C , D ) ."
1187,"\sigma ( y _ { 3 } ) = k _ { c } ( y _ { 3 } - \pi \rho ) + c ~ . ~ \,"
1188,"\gamma _ { g , 9 } = \gamma _ { \theta , 9 } = { \bf I } _ { 2 } ~ ."
1189,\sum _ { j = 1 } ^ { n } \alpha _ { j } k _ { j } ^ { 2 } + i \varepsilon .
1190,"Z _ { g h } = \frac { | y | ^ { 2 } } { ( I m \omega ) | k | ^ { 2 } } \, ."
1191,\tilde { Q } \tilde { F } R - \tilde { R } F Q .
1192,\partial _ { t } C ( g ) = - \beta ^ { i } G _ { i j } \beta ^ { j } \le 0
1193,\operatorname* { l i m } _ { n \rightarrow \infty } { f _ { d } ^ { ' } } ^ { 2 } = \alpha ^ { 2 }
1194,t = \left( \begin{array} { c c } { 1 } & { 1 } \\ { 0 } & { 1 } \\ \end{array} \right)
1195,"\Gamma ( m ^ { 2 } , X ) = \sum _ { l = l _ { 0 } } ^ { n } \Gamma ^ { ( l ) } ( m ^ { 2 } , X )"
1196,n ^ { 2 n - 4 } ( n - 1 ) ! \leq P _ { n } \leq n ^ { 2 n - 4 } ( 2 n - 2 ) ! / ( n - 1 ) ! .
1197,"[ M _ { 0 } , M _ { \pm } ] = [ M _ { + } , M _ { - } ] = 0 ."
1198,\left| { \frac { \lambda } { y ^ { 2 } } } \right| \le N _ { c } ~ .
1199,"W = { \frac { h ^ { 2 } } { 4 m } } \mathrm { T r } ( [ \Phi _ { 1 } , \Phi _ { 2 } ] ^ { 2 } ) \ ,"
1200,"\hat { R } \psi \left( r \right) = k _ { 1 } ^ { 2 } \psi \left( r \right) \, , \; \hat { R }"
1201,"( a - b ) ( K ( q ) - F ( \nu , q ) ) = ( a - c ) ( E ( q ) - E ( \nu , q ) ) ."
1202,{ \frac { d \theta } { d r } }
1203,\gamma _ { R } = + \gamma _ { \Omega J } \gamma _ { R } ^ { T } \gamma _ { \Omega J } ^ { - 1 } .
1204,f ^ { \mu } = B ^ { \mu } e ^ { \frac { 1 } { 2 } k ( \sigma - v \tau ) } + A ^ { \mu }
1205,"{ \cal E } _ { \mathrm { w } } = \left| { \cal Z } \right| \, ,"
1206,"\left[ \hat { x } _ { n + 1 } , \hat { x } _ { n } \right] = \frac { - i \hbar } \beta ,"
1207,\protect \mu = - \eta \operatorname { l n } ( \eta ) + c _ { 1 } \eta + \cdots
1208,"\left( d + \hat { A } _ { \gamma } \right) \eta = 0 \; ,"
1209,\frac { \sigma } { 2 } ( \mu - \mu ^ { - 1 } ) + \frac { \tau } { 2 } ( \mu + \mu ^ { - 1 } )
1210,"I [ g , \phi ] = I _ { ( g ) } [ g ] + I _ { ( m ) } [ g , \phi ] ~ ~ ~ ,"
1211,\sigma = - \left. \frac { \partial m } { \partial \lambda } \right| _ { \lambda = 0 } .
1212,"f _ { n } ( k ^ { + } ) = c _ { n } \theta ( k ^ { + } ) + d _ { n } \theta ( - k ^ { + } ) ,"
1213,"\Gamma _ { W Z W } = \frac { 1 } { 1 2 \pi } \int _ { M ^ { 3 } } T r ( \alpha ^ { 3 } ) ,"
1214,"\widehat g _ { \mu \nu } = \eta _ { \mu \nu } + \widehat h _ { \mu \nu } \, ."
1215,"\delta \psi ( g , F ) = \nabla \epsilon + F \epsilon = 0 \ , \qquad \epsilon \neq 0"
1216,"\frac \partial { \partial P ^ { i } } F = k _ { i } F _ { / 1 } + 2 P _ { i } F _ { / 2 } ,"
1217,H _ { P } = \int d ^ { 2 } x ( { \mathcal { H } } + U ^ { 0 } P _ { 0 } + U ^ { i } P _ { i } ) .
1218,"\frac { i } { 4 \pi } \int d ^ { 2 } Z \, E R _ { + - } = 1 - h ,"
1219,G _ { o } ^ { 2 } \tilde { \alpha } _ { \mathrm { e f f } } ^ { \prime }
1220,"f _ { \mathrm { e f f } } ^ { ( \frac { 3 } { 2 } , 3 ) } ( \pm t _ { 0 } ) \simeq - 0 . 8 5 4 ."
1221,"\psi \rightarrow \psi + 2 \frac { \pi } { N } \, k"
1222,\delta J _ { \pm } = \epsilon _ { \pm } \partial _ { \mp } J _ { \pm } \; \; .
1223,"g _ { \mu \nu } = \delta _ { \mu \nu } + \phi _ { \mu \nu } ,"
1224,S O ( 3 2 ) \supset S U ( 1 6 ) \supset S O ( 1 0 ) \supset S O ( 9 )
1225,\Phi ( t = \infty ) - \Phi ( t = - \infty ) = \frac { 4 \pi } { e }
1226,\Phi ^ { \dagger } \ = \ 1 \ - \ \sum _ { k = 1 } ^ { m } R _ { k } / \mu _ { k }
1227,\omega _ { \alpha } = \gamma _ { \alpha \beta } \omega _ { \beta }
1228,h _ { \mu \nu } \equiv g _ { \mu \nu } - g _ { 0 \mu \nu }
1229,"\frac { 1 } { 2 \pi } \oint _ { C } d u ^ { \mu } \, \partial _ { \mu } \theta = - L [ C ] ."
1230,"\delta _ { f } \, g \equiv \left\{ f , g \right\} _ { { \footnotesize P B } } \; ,"
1231,"{ \cal P } = p + \omega \tau \ ,"
1232,"u < \pi / 2 , ~ ~ v < 0 ,"
1233,1 + { \frac { 1 - p } { \sqrt { ( 1 - p ) ^ { 2 } - ( a ^ { 2 } - b ^ { 2 } ) } } }
1234,W = - \operatorname { l o g } \int d \tilde { A } d \tilde { \psi } d b d c e ^ { - S } .
1235,"H = A \sigma ^ { 1 } \wedge \sigma ^ { 2 } \wedge \sigma ^ { 3 } ,"
1236,\frac { d } { d t } H _ { t } ^ { + } + \Delta _ { + } H _ { t } ^ { + } = 0
1237,"[ p _ { i } , p _ { j } ] = - i \hbar c ^ { k } { } _ { i j } p _ { k }"
1238,E _ { i j } = \frac { i } { 2 } ~ t r ( \tau _ { i } { \cal { A } } ^ { \dag } \tau _ { j } A )
1239,| v a c \rangle \longleftrightarrow \mathrm { T r } Z ^ { J } ( x ) | 0 \rangle | _ { x \to 0 }
1240,"( - \delta M - \frac { 1 } { 2 } \delta Q ^ { 2 } \operatorname { l n } r ) N ( r ) \, ,"
1241,"a = e ^ { - \frac { \chi } { ( \hat { d } - 2 ) } \sum _ { n } T _ { n } | y - y _ { n } | } \, ."
1242,"[ P _ { i } , X _ { j } ] = - i \, \delta _ { i j }"
1243,"\gamma ^ { \mu \nu } \equiv i [ \gamma ^ { \mu } , \gamma ^ { \nu } ] / 2"
1244,V ( \varphi ) = e ^ { i e M ( \vartheta _ { 0 } ) \varphi }
1245,e ^ { W _ { 0 } } = { \frac { 4 } { ( 1 + \eta \overline { { \eta } } ) ^ { 2 } } } .
1246,\mathcal { R } = - \frac { 2 D } { \left( D - 2 \right) }
1247,v ( \varphi ) \sim \operatorname { e x p } \left\{ A ( D - d ) \varphi ^ { D / d } \right\} \quad .
1248,"{ \cal O } = ( \chi , \Sigma ) - i \hbar \Delta \chi ."
1249,\frac { d \lambda } { d u } \sim \lambda _ { 1 }
1250,"\mid \alpha , \lambda > = \sum _ { m = 0 } ^ { \infty } b _ { m } \mid m , \lambda >"
1251,\dot { q } ^ { \mu } = e _ { i } { } ^ { \mu } ( q ) \dot { x } ^ { i }
1252,M ^ { 2 } = { \frac { 1 } { 2 } } \big [ g ^ { 2 } Q ^ { 2 } + g ^ { - 2 } P ^ { 2 } \big ] \ .
1253,"\partial _ { \nu } \partial _ { \mu } F ^ { \mu \nu } = \, m \, \chi \, ,"
1254,"\phi _ { , \eta \eta } + \phi _ { , \eta } ^ { 2 } = \Lambda ^ { 2 } M ^ { 2 } ."
1255,"r \simeq 1 2 . 4 \, \epsilon = 6 . 2 / N _ { \mathrm { C O B E } } \sim 0 . 1 1 \; ,"
1256,"\beta = \left\lbrack \frac { \lambda } { 1 2 } ( 1 + w ) a ^ { 2 } \right\rbrack ^ { 1 / 2 } \; ,"
1257,T | _ { m i n } = 0 . 9 6 1 6 7 4 5 5 - 0 . 1 5 9 6 5 1 9 3 \; i
1258,\mu ( \xi ) ( s ) = \mathcal { L } _ { \xi } ( s ) - \nabla _ { \hat { \xi } } ( s )
1259,\nu = \frac { 2 I M \mu } { p _ { 0 } } = j + \frac { 1 } { 2 } .
1260,"L = L \left( x , \dot { x } , u \right) ."
1261,"\left( S ^ { 2 } \right) _ { n } ^ { - n } = 1 , \ 0 \mathrm { ~ o t h e r w i s e }"
1262,\gamma = \frac { N _ { c } } { N _ { c } - N _ { f } } ~ > ~ 1
1263,"\partial _ { \perp } X ^ { 0 , 1 , . . , p } = X ^ { p + 1 , . . , 9 } = 0 \ ,"
1264,"G _ { n + 1 } = \frac { n - 1 } { l _ { n + 2 } } G _ { n + 2 } ,"
1265,"\alpha ( F _ { \alpha } ^ { + } ) ~ = ~ 0 ~ ,"
1266,"f ( x ) = \int d \kappa e ( \kappa x ) F ( \kappa ) \; ,"
1267,"X = 3 \alpha - 1 + \frac { 1 } { \alpha ( - \frac 1 2 + \frac { c } { r ^ { 2 } } ) } ,"
1268,"V ^ { ( N ) } = \frac { 1 } { N } \; \overline { { V } } _ { 0 } ^ { ( N - 1 ) } \; m _ { 0 } ,"
1269,"\sqrt { \mathrm { s t r i n g ~ t e n s i o n } } = \Lambda = c ~ T ,"
1270,"E _ { 7 ( 7 ) } \to S U ( 1 , 1 ) \times S O ( 6 , 6 ) \to S U ( 3 , 3 ) \times U ( 1 )"
1271,"\delta _ { 1 } = \delta _ { 3 } = 4 , \quad d = 4"
1272,"i \Gamma ^ { \mu } \partial _ { \mu } \Psi = m \Psi ~ ,"
1273,"\dot { \tilde { x } } _ { \mu } = ( e - v s m ^ { - 1 } ) \cdot p _ { \mu } ,"
1274,\begin{array} { c c c c c c } { 1 } & { } & { 2 0 } & { } & { 1 } & { } \\ \end{array}
1275,"\epsilon ^ { - 2 } \longleftrightarrow \eta t ,"
1276,W ( { \cal { C } } ) = T r P e ^ { i \oint { A _ { \mu } d x ^ { \mu } } }
1277,F _ { \mu \nu } = \partial _ { \mu } A _ { \nu } - \partial _ { \nu } A _ { \mu } \; .
1278,H ^ { 0 } \left( s _ { R } \right) = H ^ { 0 } \left( s _ { I } \right) .
1279,L _ { n } = \oint _ { | z | = 1 } \frac { d z } { 2 \pi i } z ^ { n + 1 } T ( z )
1280,"\Gamma ^ { 2 } \Gamma ^ { 0 1 2 \cdots p + 3 } \epsilon _ { L } = \epsilon _ { R } \ ,"
1281,e q - 2 7 F ^ { ( q ) } - \frac { 1 } { 2 m } d \ast F ^ { ( q ) } = 0 .
1282,{ \cal H } _ { \mathrm { C } } = \lambda ^ { \mathrm { a b } } \pi _ { \mathrm { b a } } -
1283,"m _ { K K , l } \equiv \frac { m } { a _ { 0 } e ^ { B ( t ) } \sqrt { C ( y ) } } ,"
1284,"- \frac { 3 } { 8 } \nu ^ { \prime } r = H ( \nu ) ( H ( \nu ) \pm 1 ) \; ,"
1285,\iota \colon { \cal C } \rightarrow { \bf C P } ( { \cal H } )
1286,P \; = \; \sum _ { l = 1 } ^ { L } c _ { l } \: U _ { l } \: Q \: U _ { l } ^ { - 1 } \; .
1287,"j = j ^ { \prime } \, , \qquad 0 \leq k ^ { \prime } = k - m _ { 2 } \leq 0 \, ,"
1288,"V ( x , y ) = \frac { g _ { 2 } y + \mu _ { 1 } ( x ) } { y + g _ { 2 } y ^ { 2 } - c x - I ( y ) }"
1289,"{ \cal L } ^ { ( 1 ) } ( D , p ) \sim \sum _ { q + r = p } X ^ { q } Y ^ { r } ."
1290,\delta \phi = \delta \rho = \alpha ; ~ ~ \delta A _ { \pm } = 0 .
1291,"e _ { L 1 3 } + e _ { L 2 6 } + e _ { L 4 5 } = e _ { L 7 } + 2 e _ { R 7 } ,"
1292,"Z _ { k } ^ { \mathrm { p e r t } } ( M , { \cal M } ) \in P S ( k )"
1293,"b \geq a r , \qquad a \geq 2 n , \qquad b \geq n ( r + 2 )"
1294,\phi _ { 0 } \equiv \frac 1 { 2 L } \int _ { - L } ^ { L } \phi ( x ) d x ^ { - } \quad .
1295,\hat { I } \left( k \right) = D { \cal H } \left( k \right)
1296,{ \cal O } = \{ g x g ^ { - 1 } \mid g \in H \} \nonumber
1297,"b ( t ) \equiv \frac { 1 } { 1 } { L } \int _ { 0 } ^ { \mathrm { L } } d x A _ { 1 } ( x , t )"
1298,g _ { \mu \nu } ( q ) = { e ^ { i } } _ { \mu } ( q ) { e ^ { i } } _ { \nu } ( q ) .
1299,\partial ^ { 2 } \varphi - 8 k ^ { 2 } \varphi = 0 .
1300,"\Psi ^ { I } = \ \sum _ { | J | = n } \ p s r ( J , I ) \, R _ { J } \ ."
1301,\omega ( k ) = c k + c k \left[ { \frac { 1 } { n } } - 1 \right] { \cal F } ( k / K ) .
1302,"f _ { N } \; \; : = \; \; { \frac { N ! } { 2 ^ { N / 2 } \, ( N / 2 ) ! } }"
1303,"T ( p ) = \mu ( S _ { \leq } ( p ) ) / \mu ( M ) ,"
1304,"2 r + s = 2 p + q + 2 l + k ,"
1305,\frac { \partial } { \partial t _ { p } } { \cal H } _ { 1 } = { \cal H } _ { p } ^ { \prime } .
1306,"P \rightarrow \rho P ^ { - 1 } , \qquad Q \rightarrow i \Omega ,"
1307,"S = \beta ^ { 2 } \frac \partial { \partial \beta } F ( \beta , L ) ,"
1308,\Gamma ^ { ( 1 ) } = \frac { i } { 2 } T r \operatorname { l o g } \Delta
1309,"D _ { A } ^ { \pm } B = B , _ { i } G ^ { \pm i j } A , _ { j }"
1310,"x ( t ) = A \operatorname { c o s } ( \omega t ) \ , \ \ \ y ( t ) = 0"
1311,"s { \cal S } _ { 1 } + d { \cal M } _ { 1 } = 0 ,"
1312,\begin{array} { c } { \lambda = 1 / 2 } \\ { g < 0 } \\ \end{array}
1313,\delta \dot { q } ^ { \mu } ( t ) = \frac { d } { d t } \delta q ^ { \mu } ( t )
1314,"\rho _ { 0 } = { \frac { 7 } { 8 } } \times { \frac { \pi ^ { 2 } } { 7 2 0 L ^ { 4 } } } \, ,"
1315,"A _ { 1 } ( k , k ) \equiv A _ { 2 } ( k , k + 2 ) \qquad ."
1316,{ \hat { q } } = q ^ { - \frac { { \pi } ^ { 2 } } { { \gamma } ^ { 2 } } } .
1317,\Delta = \Delta _ { R } + \Delta _ { L }
1318,{ \cal P } _ { 2 i j } \rightarrow \stackrel { \symbol { 1 2 6 } } { \cal P }
1319,4 N _ { 1 } \leq 5 N _ { 3 } - ( c _ { \mathrm { m i n } } - 4 \chi ) t .
1320,"u _ { i } u _ { j } = - u _ { j } u _ { i } = \epsilon _ { i j k } u _ { k } ^ { * } ,"
1321,"F _ { \alpha \beta } ^ { ( s t ) } = 0 = F _ { { \dot { \alpha } } s , { \dot { \beta } } t }"
1322,{ e ^ { \frac { 1 } { 2 } \alpha ( \phi - \phi _ { 0 } ) } = \frac { F ( y ) } { F ( 1 ) } . }
1323,"\psi ^ { U } = U ^ { \dagger } \psi , ~ ~ ~ ~ ~ \psi ^ { \dagger \, U } = \psi ^ { \dagger } U ."
1324,A _ { \mu } ^ { i } = { \overline { A } } _ { \mu } ^ { i } + a _ { \mu } ^ { i }
1325,"d V _ { f } = \frac { 1 } { f ( \xi , \eta , \varphi ) } d V"
1326,"{ [ } J _ { i } , J _ { \alpha } ] = i C _ { i \alpha } ^ { \beta } J _ { \beta } ,"
1327,Z = \Psi + i \Phi = \frac { 1 + p \mu + i q \eta } { 1 - p \mu - i q \eta }
1328,"\varepsilon _ { n } \, \simeq \, \frac { 2 M _ { 0 } \, R } { \mu \, ( n - 1 ) \, \pi } \, { . }"
1329,\Phi = \frac { 1 } { 2 \pi i } \oint _ { \mathcal C } A _ { \mu } \d x _ { \mu }
1330,"m _ { x , \mu } = \Delta _ { \mu } m _ { x } , \, \, m _ { x } \in Z _ { Q } ."
1331,F = \frac { 1 } { 4 \alpha _ { g } } \frac { G m ^ { 2 } } { r ^ { 2 } }
1332,"D _ { \nu } F ^ { \mu \nu } ( x ) = 0 ,"
1333,\displaystyle \left( L + F ( Y ) ) \cdot t \right| _ { \partial \Sigma }
1334,"\vartheta \mapsto \vartheta + \frac { \textstyle 1 } { \textstyle 2 } \,"
1335,"\epsilon ^ { ( 0 ) } = n \makebox [ . 5 i n ] { , } ( n . n = 1 ~ , ~ n _ { 0 } > 0 )"
1336,E _ { \mu \nu } = { } ^ { ( 5 ) \! } C _ { \mu \alpha \nu \beta } n ^ { \alpha } n ^ { \beta }
1337,\frac { 1 } { 4 \pi } \int \sqrt { \hat { g } } \hat { R } = 2 ( 1 - h )
1338,"\{ \gamma _ { \mu } , \gamma _ { \nu } \} = 2 \eta _ { \mu \nu } ."
1339,\overline { { I _ { U _ { 3 } } ( \cdot | s ) } } \leq H ( s ) + r ( s ) + \frac { 1 } { 2 }
1340,a ( \hat { \tau } ) = R _ { 0 } \operatorname { s i n } ( R _ { 0 } ^ { - 1 } \hat { \tau } ) .
1341,S ^ { \prime } = S _ { W Z W } + \int d \tau d \sigma \Delta { \cal L }
1342,"d s _ { 7 } ^ { 2 } = e ^ { - y ( \rho ) / 2 } \, d s _ { 7 , \mathrm { s t } } ^ { 2 } ."
1343,"[ x ^ { \mu } , x ^ { \nu } ] = i \theta ^ { \mu \nu } ,"
1344,"\chi _ { R } ( g ) ~ \equiv ~ \mathrm { T r } \left( g ^ { R } ( x ) \right) \; ,"
1345,"e ^ { \mu } = \frac { R ^ { \prime \/ 2 } } { k + f ( x ^ { 5 } ) } ,"
1346,\mathcal { O } \stackrel { T } { \longrightarrow } \mathcal { O } ( 1 ) \ .
1347,\frac { \langle N _ { C S } ^ { 2 } \rangle } { V } = \xi \langle \Theta \rangle
1348,"K ^ { i } = \epsilon _ { i } Z _ { i i } \; \; ,"
1349,\partial _ { \beta } F ^ { \alpha \beta } = J ^ { \alpha }
1350,"A _ { \mu } = \Lambda _ { \mu } + { \cal A } _ { \mu } ,"
1351,\frac { 1 } { ( \kappa _ { 4 } ) ^ { 2 } } = \frac { 2 } { k \kappa _ { 5 } ^ { 2 } } .
1352,\partial _ { \alpha } g = \varepsilon _ { \alpha \beta } \partial _ { \beta } c
1353,"\tilde { L } _ { 0 } = - { p _ { \mu } } ^ { 2 } \; , \; L _ { \pm 1 }"
1354,"\gamma _ { \hat { \mu } } = \Pi _ { \hat { \mu } } ^ { M } \Gamma _ { M } ,"
1355,q ^ { 2 } \frac { d \left( \lambda _ { j } \right) } { a \left( \lambda _ { j } \right) }
1356,k \epsilon _ { \mu \nu \lambda } \partial _ { \nu } A _ { \lambda } = j _ { \mu }
1357,"{ \oint } { \Theta } _ { { \mu } } ^ { \; \; { \nu } } d { \sigma } _ { \nu } = 0 ,"
1358,M _ { \mathrm { g a u g e } } = \frac { 2 } { \rho ^ { \prime } } .
1359,{ \cal H } = \frac 1 2 ( E _ { k } ^ { a } ) ^ { 2 } + \frac 1 2 ( B _ { k } ^ { a } ) ^ { 2 }
1360,"d s ^ { 2 } \, \equiv \, \mathrm { T r } \left( E \, \otimes E \right)"
1361,"P _ { a } P _ { N } = M _ { a } N _ { a } , \ \ \ a = 1 , \cdots , N - 1"
1362,\operatorname { e x p } i \pi \kappa = \zeta .
1363,"x = \xi _ { 3 } + \epsilon _ { E } \chi , \ \ y = \xi _ { 3 } + \epsilon _ { E } ( \chi - 1 ) ,"
1364,"\langle P Y _ { 1 } P Y _ { 2 } \rangle = - \operatorname { l o g } Z _ { 1 2 } ,"
1365,"A _ { D / 2 } = T a _ { D / 2 } = \int d t ~ a _ { D / 2 } ,"
1366,S _ { s t r } = \int d ^ { 2 } x \left[ \partial _ { \mu } X \partial ^ { \mu } X + R X \right]
1367,n ( R _ { 1 } ( \infty ) - R _ { 1 } ( - \infty ) ) + R _ { n } ( \infty ) - R _ { n } ( - \infty )
1368,\sigma ( \rho ) = e ^ { - c \rho } ~ .
1369,| \phi _ { m } ( \rho = 0 ) | ^ { 2 } \approx \frac { 1 } { 1 + ( m r _ { c } ) ^ { 2 } } .
1370,"\vert \Psi \rangle = \vert \psi _ { s } \rangle + \vert \psi _ { 1 - s } \rangle ,"
1371,"L _ { \frac { \l } { 2 } } ^ { a b } , \ \forall \ a \leq b \ \textup { w h e n \l i s e v e n } ."
1372,"i H = - \frac { 1 } { 4 } [ H _ { 1 } , H _ { 2 } ] , \hspace { 1 5 p t } H = H ^ { \dagger }"
1373,\varepsilon \equiv \frac { \kappa ^ { 2 } \rho } { \sigma } .
1374,\delta ^ { \pm } ( x ) = \int \frac { d ^ { 3 } k } { ( 2 \pi ) ^ { 3 } } e ^ { \mp i k x } .
1375,"S = { \frac { 2 \pi R } { D - 2 } } \sqrt { E _ { c } ( 2 E - E _ { c } ) } ,"
1376,\delta S = \omega _ { a b } ( M ^ { a b } ( \tau _ { 2 } ) - M ^ { a b } ( \tau _ { 1 } ) )
1377,"\left. { \frac { \delta I } { \delta \phi } } \right| _ { \phi = \phi _ { 0 } } = 0 ~ ~ ~ ,"
1378,"[ b _ { i } ( n ) , b _ { j } ( m ) ] = n C _ { i j } \delta _ { n + m , 0 }"
1379,\tilde { \phi } _ { \infty } \sim e ^ { - \sqrt { \Omega ^ { 2 } + \mu ^ { 2 } } \rho } .
1380,\chi _ { 0 } ( x ) = \operatorname { e x p } \{ - \frac 1 2 \tilde { G } ( x ; \{ \zeta \} ) \} .
1381,"p _ { 0 } [ q , r ] = \frac { i r ^ { \prime } } { \epsilon r }"
1382,\lambda _ { i } = 2 \left( W ( \phi _ { i } + \epsilon ) - W ( \phi _ { i } - \epsilon ) \right) .
1383,+ 3 \pi \; [ \dot { b } b ^ { 2 } f ^ { \prime } ( R ) ] _ { \sigma = 0 } .
1384,\frac { { \delta } { \cal { N } } ( r ) } { g } - { \Delta } ( r ) = { \delta } { \phi } ( r ) .
1385,"c _ { N } = \int _ { - \infty } ^ { \infty } d z \, e ^ { N \varphi } ,"
1386,"\left[ S o l v _ { 3 } \, , \, S o l v _ { 4 } \right] \, \ne \, 0"
1387,"\left( \begin{array} { c c } { 1 } & { z } \\ { 0 } & { 1 } \\ \end{array} \right) ,"
1388,"[ \alpha _ { n } ^ { i } , \alpha _ { m } ^ { j } ] = n \delta _ { n , - m } \delta ^ { i j } ."
1389,"z ( a ) = \sqrt { 1 + \frac { | a | ^ { 2 } } { 2 N } } \, a"
1390,"\frac { \eta } { x + 2 } - f ( u ) = 0 ,"
1391,"\langle \chi _ { 1 } | \ldots \langle \chi _ { n } | W \rangle \; ,"
1392,\tilde { K } = P ( y ) - 3 \operatorname { l n } ( T + T ^ { \dag } )
1393,S \leq A _ { \mathrm { c s } } / 4 G \hbar .
1394,"- { \frac { 1 } { 2 \kappa } } \Sigma = Q _ { \Sigma } t + A , \, \, \, \Phi = Q _ { \Phi } t + B"
1395,"F ( h _ { + } , h _ { - } , \frac { d } { 2 } , \frac { 1 - P } { 2 } ) ."
1396,e ^ { n r } = ( A ^ { + + } ) ^ { n } ( A ^ { + - } ) ^ { r } e ^ { 0 }
1397,{ \it \Pi } ^ { b } = \frac { 1 } { n } \hat { \Pi } _ { r } ^ { b } { ^ { \ast } F ^ { r } }
1398,"\{ \psi _ { 1 } , Q _ { 2 } \} = - \left( \partial _ { z } \phi + F \right) \, ,"
1399,: \prod _ { a = 1 } ^ { r } O ^ { I _ { a } } ( x _ { 1 } ) : .
1400,"\eta = \pi \left( \lambda + 1 \right) \frac { \beta \phi _ { 0 } } { 2 \pi } \, ,"
1401,"\tilde { K } = \Omega ^ { - 1 } K + 3 \Omega ^ { - 2 } n ^ { a } \nabla _ { a } \Omega \; ,"
1402,\partial \partial ^ { * } A _ { - } \rightarrow 0 \; \; .
1403,\Gamma ~ \sim ~ { \frac { E ^ { 3 } } { M _ { \mathrm { P } } ^ { 2 } } } ~ n _ { m a x } ~ .
1404,R _ { | n \rangle } ^ { ( m ) } ( u ) = b _ { n } ^ { m } ( u ) R ^ { ( m ) } ( u )
1405,\frac { 1 } { 2 | d ( d \theta - c ) | } > \frac { M } { 2 } \ .
1406,"M = M ( r _ { 0 } ) - \frac { 1 } { 2 } Q ^ { 2 } \operatorname { l n } r _ { 0 } \, ."
1407,c ( { \bf k } _ { n } ) \equiv \left( \frac { L } { 2 \pi } \right) ^ { 3 / 2 } a _ { n }
1408,"u _ { \, t } = { \bf X } ( u ) = \{ u , H \} _ { D } = J \; \delta _ { u } H"
1409,"K _ { b } = ( k , - k \operatorname { s i n } \alpha , k \operatorname { c o s } \alpha , 0 )"
1410,T _ { \mu \nu } = ( \varepsilon + p ) u _ { \mu } u _ { \nu } - p g _ { \mu \nu } .
1411,"\L ^ { \dagger } \gamma ^ { 0 } \gamma ^ { \mu } \L = \gamma ^ { 0 } \gamma ^ { \mu } ~ ,"
1412,\Delta _ { [ \alpha ] } = \frac { 1 } { 1 6 } + \frac { 1 } { 2 } \alpha ( Q - \alpha ) .
1413,"\varphi _ { \alpha } \equiv - 2 \, \Lambda _ { \alpha } \, \cdot \, h"
1414,"\textstyle \Delta _ { \pm } = \frac d 2 \pm \frac 1 2 \sqrt { d ^ { 2 } + 4 M ^ { 2 } } ,"
1415,\zeta = \frac { 1 } { 2 } + i \frac { \sqrt { \beta } } { 2 } p
